AudioBook_ID,Book_Title,Book_Description,Book_Detail,Book_Summary,Book_Language,Book_Country,Book_Author,Book_Translator,Book_Narrator,Book_Director,Book_Producer,Book_SoundEngineer,Book_Effector,Book_Actors,Book_Genre,Book_Category,Book_Duration,Episode_Count,Cover_Image_URL,Player_Link,FullBook_MP3_URL,All_MP3s_Found
674800,بیست هزار فرسنگ زیر دریا,داستان از زبان پروفسور آرونا روایت می‌‏شود؛ دانشمندی فرانسوی كه برای مطالعه، به آمریكا آمده است.,,,,,,,,,,,,,,,,,http://player.iranseda.ir/picture?AttID=521584&s=c,https://book.iranseda.ir/Details?VALID=TRUE&g=674800&b=&attid=521584,https://player.iranseda.ir/downloadfile/?attid=528988&q=11,"https://player.iranseda.ir/downloadfile/?attid=528658&q=11,https://player.iranseda.ir/downloadfile/?attid=528988&q=11,https://player.iranseda.ir/downloadfile/?attid=528659&q=11,https://player.iranseda.ir/downloadfile/?attid=528660&q=11,https://player.iranseda.ir/downloadfile/?attid=528661&q=11,https://player.iranseda.ir/downloadfile/?attid=528662&q=11,https://player.iranseda.ir/downloadfile/?attid=528663&q=11,https://player.iranseda.ir/downloadfile/?attid=528664&q=11"
469875,دیوار چین,«دیوار چین» با نام اصلی گرفتاری‌های یك مرد چینی در چین رمانی نوشته ژول ورن نمایشنامه‌نویس و رمان‌نویس معروف فرانسوی است كه نخستین بار در سال 1879 توسط انتشارات پیر-ژول اتزل در فرانسه منتشر شد.,,,,,,,,,,,,,,,,,http://player.iranseda.ir/picture?AttID=378658&s=c,https://book.iranseda.ir/Details?VALID=TRUE&g=469875&b=&attid=378658,https://player.iranseda.ir/downloadfile/?attid=378221&q=11,"https://player.iranseda.ir/downloadfile/?attid=378081&q=11,https://player.iranseda.ir/downloadfile/?attid=378221&q=11,https://player.iranseda.ir/downloadfile/?attid=378194&q=11,https://player.iranseda.ir/downloadfile/?attid=378195&q=11,https://player.iranseda.ir/downloadfile/?attid=378196&q=11,https://player.iranseda.ir/downloadfile/?attid=378197&q=11"
150669,رودخانه ی وارونه,«تومك» نوجوانی است كه در یك روستا مغازه ی بقالی دارد. او آرزو دارد دلتنگی هایش را با سفر به دور دنیا كمتر كند؛ روزی «هانا» دختری نوجوان به فروشگاه او می آید تا از تومك آب نبات بخرد. تومك عاشق دختر می شود و ....,,,,,,,,,,,,,,,,,http://player.iranseda.ir/picture?AttID=193911&s=c,https://book.iranseda.ir/Details?VALID=TRUE&g=150669&b=&attid=193911,https://player.iranseda.ir/downloadfile/?attid=197470&q=11,"https://player.iranseda.ir/downloadfile/?attid=126337&q=11,https://player.iranseda.ir/downloadfile/?attid=129250&q=11,https://player.iranseda.ir/downloadfile/?attid=197470&q=11,https://player.iranseda.ir/downloadfile/?attid=126338&q=11,https://player.iranseda.ir/downloadfile/?attid=129246&q=11,https://player.iranseda.ir/downloadfile/?attid=129247&q=11,https://player.iranseda.ir/downloadfile/?attid=129249&q=11,https://player.iranseda.ir/downloadfile/?attid=129251&q=11,https://player.iranseda.ir/downloadfile/?attid=126345&q=11,https://player.iranseda.ir/downloadfile/?attid=126346&q=11,https://player.iranseda.ir/downloadfile/?attid=126347&q=11,https://player.iranseda.ir/downloadfile/?attid=129252&q=11,https://player.iranseda.ir/downloadfile/?attid=126349&q=11"
414110,شوالیه ای با زره زنگ زده,در روزگاران گذشته، در سرزمین‎‌های دور، شوالیه‌ای زندگی می‌كرد كه خود را خوب، سخاوتمند و مهربان می‌پنداشت و همه‌ی وظایف یك جنگ‌جوی شایسته را، همچون دیگر سلحشوران، انجام می‌داد. وی هرگز زره‌اش را از تن بیرون نمی‌آورد؛ تا اینكه ....,,,,,,,,,,,,,,,,,http://player.iranseda.ir/picture?AttID=322646&s=c,https://book.iranseda.ir/Details?VALID=TRUE&g=414110&b=&attid=322646,https://player.iranseda.ir/downloadfile/?attid=323559&q=11,"https://player.iranseda.ir/downloadfile/?attid=320715&q=11,https://player.iranseda.ir/downloadfile/?attid=323559&q=11,https://player.iranseda.ir/downloadfile/?attid=320587&q=11,https://player.iranseda.ir/downloadfile/?attid=320618&q=11,https://player.iranseda.ir/downloadfile/?attid=320620&q=11"
